Tray Code,Batch ID,Varietal,Harvest Date,Seeded Tray Quantity,Harvest Tray Quantity,Destroyed Trays,Total Harvest Yield (oz),Last Subzone
let-rom-D-02Aug-2,let-rom-D-02Aug-222,"Lettuce, Romaine 'Parris Island' (D)",2022-08-25 9:52,18,18,0,270,PIPP4F2
let-rom-D-03Aug-3,let-rom-D-03Aug-322,"Lettuce, Romaine 'Parris Island' (D)",2022-08-25 9:52,18,18,0,205.5,PIPP4F3
par-flt-C-03Aug,par-flt-C-03Aug22,"Parsley, Italian Flat (C)",2022-08-25 11:08,30,30,0,115.5,PIPP3C2
cil-spl-C-04Aug,cil-spl-C-04Aug22,"Cilantro, Split (C)",2022-08-25 10:21,25,25,0,114,PIPP3D3
pea-gry-B-15Aug,pea-gry-B-15Aug22,"Peas, Dwarf Grey (B)",2022-08-25 9:52,14,14,0,184.5,PIPP3A4
sun-blk-B-16Aug-2,sun-blk-B-16Aug-222,"Sunflower, Black Oil (B)",2022-08-25 9:52,32,32,0,247,PIPP3A8
aru-mcg-B-16Aug-2,aru-mcg-B-16Aug-222,"Arugula, microgreens (B)",2022-08-25 11:06,18,18,0,87.5,PIPP3A6
koh-pur-B-17Aug,koh-pur-B-17Aug22,"Kohlrabi, Purple Vienna (B)",2022-08-25 9:52,9,9,0,56,PIPP3B4
mus-mix-B-17Aug-2,mus-mix-B-17Aug-222,Mustard Micro Mix (B),2022-08-25 8:24,2,2,0,20,PIPP3B3
miz-rst-D-10Aug,miz-rst-D-10Aug22,"Mizuna, Red Streaks (D)",2022-08-26 9:52,12,12,0,42.5,PIPP1H4
kal-mix-D-10Aug,kal-mix-D-10Aug22,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-26 9:06,138,138,0,514.5,PIPP1F1
miz-rst-D-10Aug-2,miz-rst-D-10Aug-222,"Mizuna, Red Streaks (D)",2022-08-26 9:52,18,18,0,64,PIPP3J2
fri-mix-D-11Aug,fri-mix-D-11Aug22,"Frill, Mix (D)",2022-08-26 9:51,45,45,0,200,PIPP1J3
